name,desc
(nothing),(no item)
Cabbage,"A well-balanced vegetable that can be eaten raw, fried or boiled. Helps with digestion after a big meal."
King Cabbage,"A well-balanced vegetable that can be eaten raw, fried or boiled. Helps with digestion after a big meal."
Pink Turnip,A pretty pink-colored turnip. Raised through the efforts of a turnip-obsessed girl. Famous for how easy it grows.
Colossal Pink,A pretty pink-colored turnip. Raised through the efforts of a turnip-obsessed girl. Famous for how easy it grows.
Pink Melon,A pink melon overflowing with cuteness. Attracts young girls with its adorable shape and taste. Truly heinous.
Conqueror Melon,A pink melon overflowing with cuteness. Attracts young girls with its adorable shape and taste. Truly heinous.
Onion,"When raw it has a sharp taste, but turns mild when cooked. Many cry chopping onions, but those tears aren't for you!"
Ultra Onion,"When raw it has a sharp taste, but turns mild when cooked. Many cry chopping onions, but those tears aren't for you!"
Pumpkin,A nutritious seasonal vegetable. Can be worn during the autumn festival by scooping out the inside.
Doom Pumpkin,A nutritious seasonal vegetable. Can be worn during the autumn festival by scooping out the inside. A gourd of doom.
Cucumber,A green and watery vegetable with a crunchy texture. Have a bite and feel refreshed!
Kaiser Cucumber,A green and watery vegetable with a crunchy texture. Have a bite and feel refreshed!
Corn,A vegetable studded with yellow kernels. Hard to decide which side to eat from. Best lathered with butter.
Gigant Corn,A vegetable studded with yellow kernels. Hard to decide which side to eat from. Best lathered with butter.
Tomato,"A brilliant tomato, ruddy red like the summer sun. Popular for its high nutrition and health benefits."
Titan Tomato,"A brilliant tomato, ruddy red like the summer sun. Popular for its high nutrition and health benefits."
Eggplant,A purple vegetable with a cute stem. Has a soft texture.
Emperor Eggplant,A purple vegetable with a cute stem. Has a soft texture.
Yam,A vegetable high in fiber that will scour your gut and pipes.
Lordly Yam,A vegetable high in fiber that will scour your gut and pipes.
Potato,Loved by people from around the world. Used in various recipes from appetizers to main dishes.
Princely Potato,Loved by people from around the world. Used in various recipes from appetizers to main dishes.
Carrot,"A long and thin vegetable with an orange color. Horses love to eat them, snowmen love to wear them, and children love to hate them."
Royal Carrot,"A long and thin vegetable with an orange color. Horses love to eat them, snowmen love to wear them, and children love to hate them."
Green Pepper,"Although nutritious and tasty when prepared right, green peppers are sometimes disliked for their bitterness."
Green Pepper Rex,"Although nutritious and tasty when prepared right, green peppers are sometimes disliked for their bitterness."
Spinach,A dark green vegetable rich in nutrients. Said to give you strength and energy.
Sovereign Spinach,A dark green vegetable rich in nutrients. Said to give you strength and energy.
Turnip,The king of all crops. It has been through many hardships to stay in this position. Bow down to the turnip.
Tyrant Turnip,The king of all crops. It has been through many hardships to stay in this position. Bow down to the turnip.
Radish,"A white, thick ""daikon"" radish. Used in many home-cooking recipes."
Noble Radish,"A white, thick ""daikon"" radish. Used in many home-cooking recipes."
Leek,A must-have vegetable for winter dishes such as hot pot.
Legendary Leek,A must-have vegetable for winter dishes such as hot pot.
Bok Choy,"A popular winter crop. The colder it is, the sweeter it gets!"
